PCA_1,PCA_2,Cluster
-4.86054469148157,-1.3848484761110955,1
-4.643710374188773,-3.9927537600649776,1
11.366048767214522,4.671011257146285,0
-1.205142974849574,8.659147541353873,2
3.4767291979348296,-2.4112523670671053,3
-8.202710588037425,3.3761298785164424,1
12.071975361900323,1.3033631755084925,0
-0.5944288494614588,0.8529750252032059,3
13.234609486812738,-2.31000078615233,0
7.206461522859024,1.5737120078413318,0
-5.668458297404353,-0.8559190683718904,1
-5.100066793441708,-2.026439188368804,1
-2.970582620205141,-2.159054941763466,1
-4.490149295672847,-0.8620631471263679,1
-3.2167519882676334,0.4314904627715143,1
-2.3509808464760686,9.553709036038871,2
-0.22794807583963725,0.7396095607337856,3
0.09210978191813303,-5.506324434516123,3
-8.33234299903094,5.540408098519075,1
6.750206825154118,-1.136694849285585,0
-5.806185304517986,-3.103538609615458,1
5.346047864499882,4.146334834683412,0
12.601884421886552,5.38554053543557,0
-6.364843064099052,-1.5949510205479747,1
-3.05555462391859,1.4202821235667888,1
-12.77087373043031,6.573286736307796,1
-5.026748322962594,-4.57707260471127,1
-7.829925205127728,2.3374178377724832,1
-6.127080896089849,-0.8709655208614606,1
-4.503330315390731,-1.6176358973405454,1
-0.31281479271480644,-3.5216238821116264,3
12.350235826033268,-1.1628906813357192,0
13.719671804437732,-0.0720269422234401,0
-5.173347693137037,-4.6704122867476805,1
12.985602814293719,1.2628474986397977,0
5.888531195257128,-0.08112412688262509,0
-1.92487771233269,3.10563932166412,2
-7.25504899934081,2.4812066212400743,1
-0.39679723212106466,-2.3324698944119397,3
-6.81935353723198,-2.0372616339686687,1
-3.366743077706144,-2.7153096097894434,1
-7.982565586457609,-0.08805566321620711,1
8.547983239172076,1.8307494416304548,0
2.56772147830101,-2.7638159043594754,3
-6.169408635602035,-2.7720007349672224,1
-5.82565573645665,13.345475614208826,2
12.567355789675691,0.3386554837545686,0
4.082722580217036,1.9630453666422742,3
-3.2219079800420865,-3.503565980661242,1
-4.3392698216495855,1.8276609962583845,1
-2.9514648597396773,-3.992069480679422,3
-10.068777967371323,4.239846358434906,1
-0.7487476149685243,-2.6588520733431813,3
-5.256027723862725,-2.365710110383521,1
-0.12539664393279823,5.790885227349688,2
2.880315903899959,-2.890758777889474,3
4.142063747455411,7.890090138133759,2
2.717287800239359,-2.5405085405648307,3
-2.4694294228307623,4.166682954755656,2
-5.374236226175167,-1.0728597194153344,1
-3.9481868151257102,-0.9276107543157838,1
1.7981332721099095,1.5911869391397229,3
-10.056404295190411,-1.3294327437064188,1
-9.421955280089964,-2.6136005477213073,1
-5.742864683952398,-3.324850645118608,1
6.404298112244668,4.5926034890114815,0
11.068873070204075,-3.1057816994944907,0
8.89378460866426,-1.2373721889521279,0
-11.224577684322622,3.229662325961574,1
14.872356346012765,-2.5684952202117475,0
-7.564120611088045,-0.7432597337297087,1
-5.570093534923887,-3.280782602609142,1
11.656633782061691,-1.0511172332365717,0
-9.007838398955286,-2.710581301395847,1
8.892489384041784,5.289083694370993,0
-1.9646714763724906,-3.230364788800218,3
7.645833604277723,5.036776729527659,0
14.25693488125636,-5.200040947258765,0
1.3408012505954943,0.22102351365400547,3
-4.14294411851347,-4.718324917783575,1
11.252255776385935,-4.826814081412621,0
-1.1452962463442975,-3.649727854259614,3
1.9598816395507501,-3.4242450371990056,3
-1.718656871121887,-1.1743068137157806,3
