song_id,num_columns,mfcc_1_min,mfcc_1_max,mfcc_1_std,mfcc_1_skew,mfcc_2_min,mfcc_2_max,mfcc_2_std,mfcc_2_skew,mfcc_3_min,mfcc_3_max,mfcc_3_std,mfcc_3_skew,mfcc_4_min,mfcc_4_std,mfcc_4_skew,mfcc_4_kurtosis,mfcc_5_min,mfcc_5_max,mfcc_5_std,mfcc_5_kurtosis,mfcc_6_min,mfcc_6_max,mfcc_6_mean,mfcc_6_std,mfcc_6_kurtosis,mfcc_7_min,mfcc_7_max,mfcc_7_mean,mfcc_7_std,mfcc_7_kurtosis,mfcc_8_min,mfcc_8_max,mfcc_8_mean,mfcc_8_std,mfcc_9_min,mfcc_9_max,mfcc_9_mean,mfcc_9_std,mfcc_9_kurtosis,mfcc_10_min,mfcc_10_max,mfcc_10_mean,mfcc_10_std,mfcc_10_kurtosis,mfcc_11_min,mfcc_11_max,mfcc_11_mean,mfcc_11_std,mfcc_11_kurtosis,mfcc_12_min,mfcc_12_max,mfcc_12_mean,mfcc_12_std,mfcc_12_kurtosis,mfcc_13_min,mfcc_13_max,mfcc_13_mean,mfcc_13_std,mfcc_13_kurtosis,mfcc_14_min,mfcc_14_max,mfcc_14_mean,mfcc_14_kurtosis,mfcc_15_min,mfcc_15_max,mfcc_15_mean,mfcc_15_kurtosis,mfcc_16_min,mfcc_16_max,mfcc_16_mean,mfcc_16_skew,mfcc_16_kurtosis,mfcc_17_min,mfcc_17_mean,mfcc_17_skew,mfcc_17_kurtosis,mfcc_18_min,mfcc_18_mean,mfcc_18_skew,mfcc_18_kurtosis,mfcc_19_min,mfcc_19_mean,mfcc_19_kurtosis,mfcc_20_min,mfcc_20_mean,mfcc_20_kurtosis,delta_mfcc_1_min,delta_mfcc_1_max,delta_mfcc_1_median,delta_mfcc_1_std,delta_mfcc_1_skew,delta_mfcc_2_min,delta_mfcc_2_max,delta_mfcc_2_skew,delta_mfcc_2_kurtosis,delta_mfcc_3_min,delta_mfcc_3_max,delta_mfcc_3_std,delta_mfcc_3_skew,delta_mfcc_3_kurtosis,delta_mfcc_4_min,delta_mfcc_4_max,delta_mfcc_4_std,delta_mfcc_4_kurtosis,delta_mfcc_5_min,delta_mfcc_5_max,delta_mfcc_5_kurtosis,delta_mfcc_6_min,delta_mfcc_6_max,delta_mfcc_6_kurtosis,delta_mfcc_7_min,delta_mfcc_7_max,delta_mfcc_7_kurtosis,delta_mfcc_8_min,delta_mfcc_8_max,delta_mfcc_8_kurtosis,delta_mfcc_9_min,delta_mfcc_9_max,delta_mfcc_10_min,delta_mfcc_10_kurtosis,delta_mfcc_11_min,delta_mfcc_11_max,delta_mfcc_11_kurtosis,delta_mfcc_12_min,delta_mfcc_12_max,delta_mfcc_12_kurtosis,delta_mfcc_13_min,delta_mfcc_13_max,delta_mfcc_13_kurtosis,delta_mfcc_14_min,delta_mfcc_14_max,delta_mfcc_14_kurtosis,delta_mfcc_15_min,delta_mfcc_15_max,delta_mfcc_15_kurtosis,delta_mfcc_16_min,delta_mfcc_16_max,delta_mfcc_16_kurtosis,delta_mfcc_17_min,delta_mfcc_17_max,delta_mfcc_17_kurtosis,delta_mfcc_18_min,delta_mfcc_18_max,delta_mfcc_18_kurtosis,delta_mfcc_19_kurtosis,delta_mfcc_20_kurtosis,delta2_mfcc_2_min,delta2_mfcc_2_max,delta2_mfcc_3_min,delta2_mfcc_4_max,delta2_mfcc_5_min,delta2_mfcc_6_min,delta2_mfcc_6_max,delta2_mfcc_7_min,delta2_mfcc_7_kurtosis,delta2_mfcc_8_max,delta2_mfcc_9_min,delta2_mfcc_9_max,delta2_mfcc_10_max,delta2_mfcc_11_min,delta2_mfcc_11_kurtosis,delta2_mfcc_12_min,delta2_mfcc_12_max,delta2_mfcc_13_min,delta2_mfcc_13_max,delta2_mfcc_14_min,delta2_mfcc_14_max,delta2_mfcc_15_min,delta2_mfcc_15_max,delta2_mfcc_15_kurtosis,delta2_mfcc_16_min,delta2_mfcc_16_kurtosis,delta2_mfcc_17_min,global_mfcc_skewness,mid_band_energy,tempo,beat_strength_max,beat_strength_min,spectral_rolloff_mean,spectral_rolloff_min,spectral_bandwidth_min
70-MFCC.csv,26979.0,-609.0396,-73.390305,80.625633,-1.430020464,0.0,223.88953,30.73317794,-1.218551347,-146.9353,45.030815,25.85106107,0.447120337,-43.354717,22.83043754,-0.279200953,-0.045159561,-67.52075,59.92272,16.93541207,-0.182870788,-33.242104,63.23719,13.52502724,14.41464785,0.077886283,-54.219566,41.377785,-0.700161163,13.50105744,0.016574813,-37.531025,48.68938,11.21898529,12.05183376,-49.398396,31.634394,-8.31052609,11.92233949,-0.243026247,-45.127754,45.14437,1.480407129,12.91785293,-0.136827573,-41.77698,40.05007,-3.557219498,10.55162669,0.019428786,-41.37738,50.43347,-4.769600266,9.773588093,0.295312898,-45.10102,42.03556,-6.386008839,10.94278606,-0.040166793,-44.626785,44.13453,-5.69189715,0.022793196,-38.32491,48.166138,0.075846925,0.429319155,-40.40288,41.943405,-1.245119608,0.052065021,0.00661141,-36.448677,4.546163505,0.258484019,0.219566614,-46.562035,-2.333128302,-0.233923616,-0.016011503,-33.2166,10.0778917,-0.041988967,-42.60631,3.306145107,0.224205056,-37.1523431,66.82401267,-1.286368833,10.9767717,0.685319766,-15.21302527,21.2561379,-0.025129666,1.124017596,-20.28672774,16.14574262,3.594118375,-0.388182898,1.953907833,-10.82472293,13.29645643,2.690749904,1.090430614,-10.84861108,9.146375388,0.391202098,-8.990501966,10.07126133,1.102995166,-9.5967508,8.5659843,0.723844222,-7.268781325,7.450936367,0.59472421,-7.772049,6.383952451,-6.543492218,0.411684196,-8.71436795,7.245518192,0.408553661,-6.309417693,6.288949222,0.580048985,-5.400484057,6.367299543,0.560921435,-5.425523687,5.662664342,0.422419516,-6.89306995,6.263735227,0.673237964,-7.237618775,5.695668192,0.823217851,-7.153274823,6.64638494,1.091793636,-7.2248331,6.724933073,0.678659976,0.788422155,0.858011362,-9.149104329,12.56603018,-10.41242875,7.517661431,-6.253638101,-7.081440511,7.107209277,-5.332448933,0.757089597,4.984582183,-3.960372083,4.199807116,4.383705467,-4.782864479,0.477936348,-3.999887802,4.622376075,-5.078197487,4.323970897,-4.05183919,3.63364413,-4.880066504,4.158879727,0.745183698,-3.838300632,0.753373754,-5.31241154,-2.773362972,244.9718185,97.50884434,347.84494,6.702176,10322.05546,0.0,0.0
104-MFCC.csv,34193.0,-507.75558,-2.3464088,63.0964984,-1.961053205,0.0,206.419,31.39863352,-1.517722731,-84.757126,64.40742,22.4531246,0.059410377,-19.415009,18.98259385,-0.009269103,0.056330198,-77.601,58.84597,17.3763634,-0.261630135,-46.283646,72.04031,9.178953237,17.76050343,-0.196830498,-68.67269,34.20261,-10.61407026,16.17778532,-0.45691451,-34.199112,64.90613,11.2151748,12.78592323,-55.767914,36.945984,-9.411103099,10.54492404,0.431582596,-50.13148,51.41658,-3.67183581,10.96798715,0.615904349,-43.342133,37.004105,-2.409740321,8.661667439,0.444519678,-45.974415,32.868755,-3.894488966,8.937546781,0.260749953,-48.75319,41.717915,-2.443553124,9.48532517,0.249734562,-39.23047,50.907166,-0.456592679,0.741579503,-38.05294,41.646236,-2.666836535,0.512578747,-47.19225,46.41906,-6.024030318,0.632176603,1.094169396,-53.25728,-1.872299884,0.849372753,1.543873876,-44.190224,-3.87015342,0.345120801,0.829289085,-43.90192,-1.509523961,0.734475178,-39.532288,-2.32960571,1.034064388,-25.8384295,38.3776493,-1.106863,9.351029873,0.508728777,-18.09230147,18.13644997,-0.227544235,-0.06709809,-14.93761835,14.60687517,3.33453658,0.175310238,0.26741368,-11.25052502,12.11977755,2.102315426,1.713418741,-11.30486041,10.82680097,0.048437993,-10.51289973,11.99986885,-0.461162373,-9.836972683,9.292953328,-0.632105622,-8.437230042,8.828692717,-0.312935391,-9.378298017,8.380078058,-7.692305,0.263965029,-6.523863742,5.631595083,0.651410759,-6.062427747,5.814574677,0.548582074,-6.136258993,5.859598425,0.414146972,-6.830325953,6.866347577,0.498863426,-5.910020308,6.674317667,0.602406033,-7.510395782,6.5162349,0.928312554,-8.416320083,7.39068988,1.272051025,-6.258577607,6.462606792,0.512028877,0.73138712,1.000488947,-11.10880825,13.84150013,-8.519008758,5.597085539,-5.652105312,-8.147792239,5.783335528,-5.462247598,0.279246144,5.179550132,-4.492919065,5.057958064,3.825329615,-3.958340096,0.652032231,-3.449768377,3.301946919,-3.54752739,3.74036304,-3.74317355,3.664176923,-3.670081229,4.176341063,0.693201522,-3.80992347,0.583696735,-3.444497155,-1.373236465,279.3742547,77.13386194,302.584,4.9860997,10622.61882,0.0,0.0
67-MFCC.csv,9341.0,-594.88116,-142.48308,65.81300084,-0.958775353,0.0,247.0061,34.25539019,-1.848398474,-116.93927,62.893795,30.07502139,0.048849356,-56.617188,20.46693991,1.191226991,1.730679144,-53.20854,74.63011,19.12735463,0.099171435,-55.56788,38.322754,-6.14087244,17.35385521,-0.914836981,-50.16562,39.9552,-15.1987055,11.61937386,0.699630837,-49.47017,24.541584,-7.090369557,11.64634737,-45.127617,29.92294,-8.688259152,10.89077294,0.161574713,-41.955505,20.119871,-8.567794483,10.51104612,-0.369670626,-42.203384,15.654019,-14.82351575,8.809010279,-0.13521322,-31.290218,21.169916,-5.244334225,7.942321183,-0.502406353,-32.154343,27.957283,-4.636238184,9.064568645,-0.349146067,-40.750175,17.083668,-6.741830025,0.002086174,-35.44127,18.172651,-6.953329528,-0.157968387,-30.385704,23.785645,-5.189945481,0.077235697,-0.179087235,-32.309322,-6.150288297,-0.215180665,-0.340797274,-25.738075,-5.900963475,0.146201629,-0.222739499,-27.821056,-8.201389311,0.124493059,-31.493786,-8.30440513,0.080081862,-26.18743917,33.28596783,-0.340477333,4.559845261,0.955455452,-11.3260815,17.30430392,0.919336388,5.228209063,-15.46334489,12.18745445,2.732037601,-0.394777795,2.935324931,-11.04015971,11.30369446,1.962051586,5.338916396,-9.845634267,9.709763043,3.555310307,-6.571718608,6.057397837,2.428369501,-8.086366083,7.831267193,3.003594792,-6.55852785,5.079678538,2.136533786,-4.739605102,4.769953152,-4.688471533,1.565206424,-4.55972393,4.765439807,1.412103922,-4.284075247,4.03742395,1.268326523,-4.675642372,4.677236962,1.484938388,-3.487595132,4.243030217,0.811223351,-4.014639762,4.448364272,0.994145669,-3.5703379,4.235802355,0.971164979,-4.813369483,3.526793647,1.269092002,-4.015988242,3.295256598,0.835615648,0.561346288,0.400035262,-7.777434271,7.342625485,-7.824529829,5.455558319,-5.110653032,-4.429373536,4.143922442,-4.477497496,1.664195369,3.606313784,-2.649115964,3.44526758,2.730956345,-2.894360585,0.940039791,-3.086027345,3.268867115,-2.761354529,2.975155625,-2.487558281,2.525316506,-2.517773441,2.672050078,0.574319284,-2.528284797,0.523943191,-3.923734386,-1.812997139,253.754365,93.96306818,364.8039,5.842791,8832.846421,0.0,0.0
110-MFCC.csv,24413.0,-604.537,-47.797054,91.17689694,-1.871377085,0.0,257.14,36.25480051,-1.361136597,-151.59384,45.806206,30.17253686,1.546325307,-68.5629,23.21577323,-0.399793307,0.218708733,-51.310066,72.83334,19.077396,-0.501738824,-41.116104,45.736122,-2.171429062,11.0071674,-0.108279274,-45.37837,56.24944,4.24802843,13.49683955,-0.131136586,-40.71656,40.89183,0.37212706,10.13114156,-36.818478,43.188286,-2.574656697,8.844840751,0.170386819,-43.40202,32.09401,-0.937116183,8.621321517,0.405265279,-36.29346,34.84823,-5.270299062,8.416046521,0.638121368,-33.983917,55.339104,0.978003543,8.648035011,4.095852745,-43.756996,57.783646,-2.680938403,11.18013966,5.693239795,-37.05807,59.779755,-5.131587568,4.624037571,-39.55513,51.000088,2.399930094,1.641025542,-37.225292,43.74396,-2.021497067,0.621786824,1.109651509,-32.224884,-0.069861568,0.342518674,0.565228696,-34.743454,0.078792473,0.828091024,1.496230015,-30.525204,-0.900160614,1.050444257,-36.017845,-3.809558863,0.641343348,-27.64711933,68.46713917,-0.830419333,7.674972651,1.147806437,-20.93292113,17.75835065,-0.041801133,1.301168693,-24.29191362,16.42634257,2.965068664,-0.881591087,5.640715298,-11.85177253,19.23105963,2.741605935,2.421013358,-12.32472,8.811702333,1.436425506,-6.637372233,6.839066767,0.735442745,-7.740906045,8.61206905,1.519424481,-7.164135317,7.943346767,1.233098355,-6.550763183,5.712830228,-4.847593055,0.631054329,-5.94116309,4.760382872,0.968729721,-6.1688899,4.815358433,0.749687404,-6.33776543,5.881762133,1.126693655,-5.434024492,5.838989073,1.000785301,-6.000823518,6.104038235,1.60571516,-7.318433995,6.606422873,1.583719507,-5.851764233,6.032934467,1.455832708,-6.249803662,6.35288395,1.725456316,2.328412265,1.596171559,-11.88099842,13.22729392,-10.10628909,8.778262561,-7.280088656,-4.609789639,4.910181859,-5.441123671,1.556488912,4.608103142,-4.682646732,4.286126903,3.900403867,-3.213319963,0.658043863,-3.756602561,3.008095999,-3.54238505,4.73264727,-3.170925963,3.429156154,-3.417973195,3.448216644,0.844406378,-3.568906204,0.911334493,-2.981313991,-1.758956922,117.7854413,107.66601562,372.52054,4.5087414,8248.326819,0.0,0.0
92-MFCC.csv,22757.0,-560.72473,-70.37414,69.87820237,-2.759736201,0.0,214.04141,28.29141767,-2.168341667,-137.76488,76.73835,25.56922511,1.555246321,-28.020971,18.40974765,0.037087061,-0.171256854,-64.65381,58.763718,17.50833226,0.038378068,-47.832493,49.606102,-2.414956833,15.52529609,-0.347810853,-57.74105,28.245338,-10.96848583,13.25091777,-0.031510982,-42.280914,57.744186,12.474022,13.52493751,-46.181538,32.311638,-2.522071736,10.71260222,-0.164507593,-41.652153,29.629885,-8.641438424,10.3577294,-0.204245073,-34.813828,30.591923,-0.951883218,9.350301773,0.104520817,-40.645287,28.872147,-7.326022241,8.590153859,-0.197329271,-37.39946,27.089163,-0.760713091,8.310550754,-0.00855718,-38.549736,22.236858,-4.411129757,-0.03448741,-34.43883,33.22695,-1.448389895,0.148309093,-38.328564,23.07868,-5.467108236,-0.041766592,-0.054566713,-48.78531,-16.12584422,0.240780371,-0.081774222,-24.901062,2.621733722,0.058508094,0.170672696,-30.437927,3.525620487,0.132014046,-48.866653,-9.751047133,0.827354121,-23.1497225,30.35535937,-0.1459175,5.374847375,0.298486826,-14.9540523,14.7988419,0.116617044,2.462170223,-11.63830957,9.191684717,2.141465737,-0.235130796,1.503266707,-10.91384965,12.54704913,2.023741731,1.548482111,-11.46776676,11.33963901,1.248696751,-8.280935328,9.26450135,0.857112134,-9.271543674,7.565117483,1.706254884,-6.019575667,6.121732675,0.470647906,-5.601095933,6.584232907,-7.21208204,0.693848513,-4.809608552,5.295913982,0.378006025,-5.70124335,6.75308807,0.61281126,-5.865072568,5.163528067,0.389518739,-6.44772851,5.17399975,0.418653994,-6.358752817,5.89929521,0.827695244,-5.084872122,4.729062947,0.323324749,-5.703202095,5.894716857,0.795231953,-4.318035142,5.9345758,0.406917664,0.518473011,1.045144423,-7.252603983,10.16400536,-5.579010909,6.135585783,-5.01951496,-5.633671104,4.993711848,-4.844082745,1.222191846,4.223991962,-4.259687041,4.578163648,3.892205177,-3.628460147,0.63294307,-3.636443987,3.74034615,-3.600666894,3.384661767,-3.038978131,3.151532368,-3.450437651,3.601172407,0.726147708,-2.912159956,0.544460444,-4.24926339,-1.509139506,236.8728413,117.45383523,322.01288,5.896157,10149.92634,0.0,0.0
33-MFCC.csv,18577.0,-565.5569,-67.60848,75.26470061,-1.685951899,0.0,214.11914,31.01598903,-1.220139781,-129.07047,33.191574,29.84115057,0.343027775,-23.976194,24.05406514,0.065204513,-0.242992737,-64.0772,67.848755,21.98932716,-0.601558978,-50.868675,65.64513,0.211804444,17.70933834,0.056985223,-61.19974,45.65608,-9.097863143,16.70623462,-0.315244846,-31.518185,73.44659,11.84755379,13.34068196,-45.594032,36.443275,-1.285518493,9.803940155,0.078005051,-53.500687,64.61113,-5.189024539,13.46905712,0.413589323,-58.924942,47.39691,-0.683578448,11.99372211,0.78649126,-54.40889,52.432674,-5.096513279,12.64777753,0.440328487,-77.8186,61.152706,-4.925481515,14.82103535,1.162746758,-53.730606,59.335114,0.691715889,0.770129795,-48.380264,55.95263,-2.690624163,0.258505079,-41.101044,65.38934,4.834702408,0.515889491,0.431491824,-41.877625,7.529310924,0.383319038,-0.362272827,-62.16329,-0.842385669,-0.1453957,-0.011904804,-65.14717,4.107655959,0.356385065,-59.718044,4.938225098,-0.053458197,-30.94351553,35.3324232,-0.457450833,6.391592701,0.817293826,-13.87937633,19.38080387,0.335367413,3.43449996,-12.93143528,12.10965051,2.399682936,-0.257281591,2.022199091,-11.32783302,10.66507965,2.162951837,1.889687101,-12.96986595,10.11626378,2.002543532,-10.59796783,13.6109596,3.24772368,-8.078176933,7.691017008,1.114939536,-7.328205267,6.765782837,0.766041613,-7.978812433,6.329052642,-5.700553733,0.699656951,-6.977674617,6.674753608,0.888252062,-8.2813742,8.142636393,1.489373881,-8.662125433,9.613336317,1.745848924,-6.884078833,7.892132332,1.519003787,-7.055698633,8.010785021,1.040415077,-7.448887825,7.98256398,1.283425466,-10.18797118,7.743771595,1.644489219,-6.970607817,6.571600583,0.978093744,1.208339448,1.189063623,-10.11046086,8.863111604,-6.309503812,6.00423919,-6.173387767,-6.343581952,5.011079331,-5.536807347,1.297056192,3.401397781,-3.620086494,3.957385257,4.674036114,-3.802112068,0.919550534,-3.651052255,4.172525371,-4.467121504,5.18220258,-3.712227798,3.257636342,-4.215054536,3.987879771,1.260208281,-3.427077409,0.703645606,-4.560277967,-2.713253427,259.9969032,143.5546875,326.76077,7.853327,12372.90849,0.0,0.0
29-MFCC.csv,17973.0,-565.3853,-168.11153,53.49291731,-2.052147782,2.801032,245.47781,30.17564049,-3.024569237,-115.65195,46.372192,27.27014866,0.435781831,-62.015907,13.14772304,0.590167486,0.933932787,-18.376373,81.60153,13.6713179,0.006605221,-52.508877,32.08824,-13.17498969,12.63056844,-0.266029859,-54.76175,22.934284,-21.57160687,9.526208779,1.80170175,-27.68961,36.18741,2.082643886,9.284587007,-43.184452,24.894066,-10.59746177,8.674089988,0.432572294,-48.51838,25.155727,-16.31133706,9.859079349,0.44285459,-40.47889,34.526436,-6.88924788,9.484543375,0.536228603,-51.442787,25.505667,-11.27433888,9.863873158,0.731730252,-52.23742,25.177683,-11.24254025,8.36998124,1.040750505,-41.423317,35.05748,-6.390717515,0.967601127,-42.702988,27.017109,-12.13336426,0.827456537,-41.720627,22.770672,-14.07394445,0.211862003,0.668531526,-35.31362,-9.820762357,0.147819728,0.207299415,-37.289974,-10.60020052,0.112125508,0.382227924,-33.508553,-10.49963241,0.171744804,-34.071552,-8.300018179,0.259497612,-15.9795385,39.77297783,-0.383452,3.713916498,1.113470301,-10.6628775,22.02957163,1.450488488,9.326458453,-16.4197102,10.11113506,2.686567469,-0.329209575,1.427517257,-8.156645043,8.786689817,1.445247723,2.001661449,-7.4559703,7.0994848,1.517529234,-7.702887923,6.102831737,1.178908843,-5.606777007,5.656948231,1.058209428,-6.439675773,5.303203917,0.755074872,-4.395070296,4.743770525,-5.256430247,0.632650335,-4.228439319,4.614278767,0.512314567,-5.216609583,4.752400667,1.005465498,-7.074496025,5.921044445,1.552858167,-5.10655037,3.770980488,0.793289656,-5.595702978,3.926923113,0.856872438,-3.997255545,3.998840917,0.742972129,-3.537281957,4.110304817,0.443048231,-3.388382542,3.377353207,0.267119207,0.363259704,0.310049101,-7.509393615,6.77042605,-7.499957904,4.166098981,-3.953402303,-4.426773988,4.533281869,-4.025313727,0.985349061,2.737885804,-2.503497741,2.87057047,2.720757771,-3.098064314,0.390687881,-2.606703154,2.470666645,-2.675552538,2.858501185,-2.766918165,2.62967929,-2.38875351,2.325346642,0.304152936,-3.075642556,0.468966953,-2.332023558,-1.298284996,306.1085292,147.65625,334.82767,6.630704,10694.36655,0.0,1729.662672
65-MFCC.csv,20069.0,-587.95654,-93.56173,81.70497106,-1.700891336,0.0,209.62207,32.8533499,-1.299056038,-127.635025,45.768684,29.99486851,0.147149785,-13.202419,21.41791497,0.239438131,-0.001169727,-59.41671,83.24334,24.05149046,-0.507242979,-51.28782,79.273285,8.552345095,17.75125576,-0.447798704,-60.845337,24.283306,-13.15861028,12.89856579,-0.25204802,-33.069206,58.53565,6.360413229,13.176699,-54.866844,37.060234,-2.305215949,11.70786445,0.219644821,-39.5494,40.631542,-3.225627902,10.30260446,0.126620914,-49.515976,32.228935,-6.828343388,10.03300342,0.164186024,-60.089085,31.551685,-0.972208291,10.52119479,0.223179963,-50.980186,39.524315,-0.28969729,10.85779113,-0.099589764,-39.92099,44.221634,-3.936686693,0.938143976,-35.83008,51.898335,1.061708263,0.492444928,-43.80584,60.509342,-10.00361397,0.734751078,1.825926866,-38.64141,-5.551710768,0.994652408,2.391248,-34.20298,0.212162184,0.33797053,0.915444892,-44.072132,-3.063251573,0.975825087,-41.2814,-8.677887102,1.257299696,-28.40890417,41.440783,-0.931308,7.449914612,0.912838481,-18.36748062,22.87467082,0.291057293,3.973354776,-13.93156902,9.4320374,2.331586397,-0.698503786,2.671029638,-13.6429606,11.96323828,2.42483014,2.433432715,-15.22974005,12.87121722,1.422527666,-8.642237683,8.887525933,1.00546628,-6.630550082,6.545753633,1.20760889,-6.400719292,6.320437222,0.807058862,-6.904018985,7.94327848,-7.4801228,1.412574645,-6.470064872,6.60013886,1.028958751,-5.478616308,5.639321802,0.893185396,-6.441022267,5.786873143,1.123205536,-5.39137145,5.493434067,0.63657415,-5.236645242,4.99961201,0.90711716,-6.205985472,4.46711337,1.076494875,-5.6411997,5.23270567,0.802798309,-4.890456383,5.247710442,0.702628922,1.107599634,0.968161492,-9.3398679,11.97349118,-5.717320634,6.518325939,-6.741367952,-5.691174422,4.41167624,-3.845038459,0.969390894,3.583742576,-4.252941698,4.123177887,4.507331754,-3.41415097,1.002547915,-3.334630067,3.739806565,-3.82098607,3.39512634,-3.078763931,3.022296838,-3.455623451,4.040907712,1.047945945,-3.86382657,0.976124541,-3.168415551,-2.541375784,240.1576818,132.51201923,335.82703,6.551418,9913.134948,0.0,0.0
63-MFCC.csv,17382.0,-574.1851,-126.85805,48.37749843,-1.188977549,0.0,259.07904,21.80273496,-1.699697428,-115.35249,58.90765,26.22729291,0.446966843,-49.5081,16.73486331,0.303468416,-0.185347951,-17.709581,66.37372,12.06286915,-0.025537671,-37.22203,37.17241,-5.342425278,10.08125984,-0.057581305,-34.48288,34.187973,-3.623997157,9.674802722,-0.146112254,-36.67108,31.338346,-9.291393328,8.048314494,-33.346905,33.30913,-7.440636705,7.055531312,0.961374326,-32.980904,29.436405,-3.579008985,7.426273539,0.195646549,-32.617096,20.423914,-10.08340908,6.824077477,0.350918905,-37.856567,31.195316,-9.458728238,7.415919245,1.487435619,-33.91074,25.011084,-7.230648758,7.809564444,0.248023137,-36.7601,22.367506,-7.653881105,0.362358998,-31.96955,27.521893,-7.026967562,0.567910485,-33.3241,23.566744,-8.475998725,0.171254933,0.162564849,-33.091545,-8.343248414,0.146366184,0.144834255,-28.046589,-7.065340926,0.227024571,0.508836843,-28.416878,-6.612974081,0.558163728,-30.374514,-7.503882229,0.318149775,-17.49829233,26.53752117,-0.482500167,5.176586116,0.677442921,-16.52450977,16.02028217,0.276305111,2.151452857,-13.84631241,11.33752862,3.015629948,-0.64777906,1.725923492,-9.593212899,10.96549538,2.259314121,0.531781497,-7.986782018,8.597283312,1.415936051,-5.451472182,5.653055482,0.342178627,-6.752507033,6.08227856,0.31692575,-4.5900575,4.329212203,0.290154125,-4.54974028,4.320611308,-5.173512127,0.287208313,-5.104126167,3.767594473,0.269586139,-4.19992971,4.430840955,0.44590551,-6.131343231,4.299509445,0.319243356,-4.439056187,3.598460093,0.275739477,-3.80679385,4.228188972,0.259809254,-4.28966004,4.405960852,0.466952571,-3.78479732,4.094842235,0.447232199,-4.440138177,3.41532848,0.365054938,0.781527598,0.425771956,-9.598599874,6.299010346,-7.534790569,4.873121357,-4.166888154,-3.667049499,3.786404206,-3.747963008,0.375707684,2.953126729,-2.557621001,2.484288646,2.93569562,-2.950197978,0.131764232,-2.55867241,2.903297316,-3.314964536,3.656154255,-2.889318047,2.783061094,-3.067246568,2.377750434,0.110030189,-2.33100969,0.166848383,-2.293910127,-0.881455546,112.2232535,151.99908088,307.33383,6.723775,8880.877223,0.0,0.0
111-MFCC.csv,24261.0,-592.6626,-176.43504,38.81013283,-0.452778848,0.0,272.3041,25.9425471,-0.674889959,-115.92421,34.95798,20.00483059,0.396617512,-72.82179,12.68944589,0.405101602,0.799224601,-8.26791,73.747955,13.55440343,-0.455083588,-42.56466,43.764694,-5.59845336,14.71023316,0.017861515,-46.282604,40.368034,-12.5330541,12.57139109,0.750342197,-31.617456,39.7879,4.28687251,9.738548591,-42.451363,37.146652,-8.856321467,10.49649617,0.915899057,-49.78312,32.5084,-11.91516799,10.19712058,0.742809674,-35.095245,36.931664,-3.904314453,9.909308833,0.233220592,-43.62236,33.680286,-7.507768853,9.57674972,0.682552024,-42.684593,27.138996,-8.397685952,10.06382819,0.228466862,-40.076347,31.060867,-5.597562869,0.67777821,-38.18249,37.40216,-8.033307628,1.30947937,-45.979843,28.318768,-7.914481305,0.263360398,0.262045118,-39.18222,-6.263791617,0.060591518,0.397359359,-38.531704,-8.301330835,0.119988051,0.408402531,-35.626186,-8.260034984,0.335528228,-37.078068,-6.194607592,0.439527534,-30.38026767,25.50280233,-0.710373667,4.700510638,0.943550479,-22.8761623,12.08032,0.517821012,2.210623769,-15.1566028,10.42271203,2.730973031,-0.478878943,1.746192703,-6.085524033,7.243307567,1.452137049,0.916801464,-7.342458512,6.22949123,0.764174761,-7.159219338,5.40062678,0.393226828,-5.235675812,5.107223,0.596254396,-5.31200222,5.993523258,0.562602274,-5.062487742,4.613964861,-4.726663438,0.747404363,-4.655621772,5.073210205,0.586465722,-4.833991584,5.61208354,1.030528367,-5.425937517,5.353298716,0.889343113,-6.243942,5.329705645,1.086044719,-6.114078127,6.406217228,1.306400443,-5.887012033,5.732643072,1.214950391,-5.066435342,4.915947893,0.862248844,-4.814031217,3.693687933,0.454570529,0.673492022,0.532077434,-13.38096191,5.803956602,-7.977967672,4.634672182,-3.886911287,-3.578942532,3.716649677,-3.805959241,0.517042063,3.124911664,-3.199583812,2.994272075,3.184667939,-3.101629513,0.541327704,-4.018872962,3.259021198,-3.355308936,3.077903812,-5.103698551,4.446613574,-3.98026618,3.778293279,1.121562687,-3.74994071,1.586429825,-3.579806987,-0.947837691,222.1261843,109.95678191,329.3429,6.143763,8718.704483,0.0,0.0
