PCA_1,PCA_2,Cluster
-5.37537103938713,-0.4573216386745945,2
-4.828693810434405,-0.15078696312845605,2
12.037690612206182,0.953196303629144,1
-1.54896237039814,-4.633440502525072,2
3.3000766937603943,0.3759047901793663,3
-8.809951735610854,-5.269162651121668,5
-2.2095487690890248,4.474160097001841,4
12.603646028581512,-4.175090081537503,1
-0.21755517129419555,-0.49935842088522076,3
6.567805784863296,7.190105285185091,1
13.06785803027921,-3.347483963567382,1
9.148724728477148,1.9694986254006481,1
-10.325010828737053,9.343521074984002,0
-9.318376155281298,4.549668946393289,0
7.337847940210544,-5.620058661775801,3
-5.795763393455877,-2.57572469568923,2
-5.304635541806573,0.6750178460236531,2
-3.5693958163912023,5.682335279846671,4
-3.004769098716837,-2.2058178141771676,2
-5.074980459488429,-2.9919674593687655,2
-4.196879689591609,-0.715720944916279,2
-2.6557293762349174,-7.414199368518641,2
-0.9630850452754453,-2.4776453857477363,3
-7.672400798125247,4.285279869225221,0
-0.10666976867274042,-0.19622769057286096,3
-9.1339438215158,-2.1565065544313655,5
7.0146214560600875,-0.8435962799013396,1
-6.702909708838551,2.1322421489085697,0
5.249122882704381,-0.6916382585399824,3
12.33220656953758,-3.8707130974183936,1
-6.12569510995333,-1.9766685839272542,2
-3.506688844343052,-1.6198348790551422,2
-12.805763287638545,-4.628496418527054,5
8.472092109898119,3.7789826564039743,1
-5.446460119990812,-1.0909716817631723,2
7.109883021584493,3.1294701746654146,1
-8.484330954597374,-5.674054462932901,5
4.77250045093378,2.7271313097685663,3
-6.515875403430513,-0.37677491262282226,2
-5.390692110318208,-0.5991723040562984,2
-0.5657655898780393,1.0193182569918415,4
11.922184652474364,-5.438089763380994,1
13.710015384833573,-2.750599516391562,1
-5.677451825514737,1.3477650803180459,0
12.689469334141995,-5.618145374236823,1
5.547104788030919,-3.479193832192779,3
-3.1335567656154755,-8.326764936071575,2
7.720168051890191,5.8265519064252835,1
-7.649714600725902,-2.7670031413024625,5
-0.12587433671280307,1.522941308963485,4
-7.755667579400056,-3.9531060140954866,5
-3.538355874640672,0.9982905189918156,2
-8.447980537124455,-1.1000748347667981,5
8.606355280157153,-1.5520102711091182,1
-3.3188020238924105,5.758143726123063,4
2.5635600637219498,-1.7726511148711557,3
-2.6768843604655483,1.9906461732041505,4
-6.786916231702953,-0.22241352791899574,2
-6.250825207191048,-4.0323048126370535,2
6.5749390310889595,3.404802324096954,1
1.5839334466413093,6.320707456692455,4
12.223669186015176,-2.7879805536233437,1
3.4146155263056683,-1.6921944209535464,3
-3.3838212086820394,-0.26860556103880384,2
-5.748306401679583,-8.892835547332337,2
-2.8373577630896514,0.10417813124292218,2
-5.532810741581282,4.139751460071017,0
-2.025127036833026,3.483513774593842,4
10.368719143385789,2.865542082140002,1
-9.186911053386389,2.076197829781391,0
-0.7959328728608254,-0.4436224351514805,3
-5.652043570885402,-1.1576243991215867,2
-0.6215033124987994,-3.685558901669927,3
1.9867784428571569,-2.8306764893023213,3
3.227118904284832,-5.828908472345884,3
2.8202880148959775,-1.676678000606504,3
-3.4794321980699334,-10.80365055583764,2
-5.445785308820042,-2.2896278986506875,2
-4.493320764525957,-1.685702571999526,2
1.1382536746914775,-1.6844797541923913,3
-10.902372408494916,-4.819127123243167,5
-10.099103000448277,-2.1200979667926827,5
-6.344361485125496,-2.327451885805941,2
-8.714431032820276,8.906879977408387,0
5.965228414130949,-4.605986245609288,3
-1.522115393147431,6.968776855882758,4
-1.5230999761238362,4.397168186460401,4
10.867599067560693,-4.139952592799294,1
8.64491997200619,-1.7584784158695388,1
-11.176271283405109,2.9040818018492827,0
-2.7650577105463077,7.181564986508104,4
-5.18179108572851,3.3722914092493728,0
14.65360843786286,-2.0606127848811306,1
-8.73944781488833,-3.1068912807835343,5
4.566340118364217,9.246185346296778,4
-6.091961895540101,-1.8039558554355413,2
11.791920491650515,-1.7239891135117122,1
-1.3476888562961493,4.680502155436368,4
-3.9747054678329814,4.155045690382556,4
-9.273536957066073,-0.3601277200656524,5
9.021202426422432,-3.8074290513348434,1
-1.8710192309514935,0.25977645528155136,4
4.7230266467386555,5.177829643696925,4
6.201364120913905,3.281569421190805,1
7.625982660818596,-1.7394703631594841,1
7.067138821167354,7.7944295684934835,1
14.885694482410166,1.1282064643716325,1
0.6502152184070125,-1.8854021188888201,3
7.3978997198777146,5.67032116604367,1
-5.114820119711786,1.0420759974326237,2
-5.313811120701111,6.942959674941545,0
11.56022163714604,1.7072035948204591,1
-1.128082104953629,0.43176481949872614,4
1.8848932529344102,2.8646254268865876,4
-1.9020841510046855,0.9540209692747167,4
10.587541766255768,8.065764845705065,1
